,,,
Fixed mmHg,Peaks,Peak cuff,Peak Ampl
163.184,,,
163.204,,,
163.307,,,
163.389,,,
163.43,,,
163.492,,,
163.554,,,
163.656,,,
163.615,,,
163.739,,,
163.78,,,
163.821,,,
163.903,,,
163.944,,,
164.068,,,
164.109,,,
164.191,,,
164.232,,,
164.253,,,
164.314,,,
164.376,,,
164.54,164.5448889,,
164.725,,,
164.849,,,
164.787,,,
164.828,,,
165.075,,,
165.26,,,
165.26,,,
165.095,,,
164.931,,,
164.89,,,
164.931,,,
164.951,,,
164.993,,,
165.116,,,
165.157,,,
165.198,,,
165.28,,,
165.362,,,
165.424,,,
165.527,,,
165.527,,,
165.65,,,
165.671,,,
165.712,,,
165.835,,,
165.897,,,
165.979,,,
166.02,,,
166.123,,,
166.164,,,
166.226,,,
166.349,,,
166.349,,,
166.308,,,
166.411,,,
166.575,,,
166.616,,,
166.493,,,
166.349,,,
166.205,,,
166.205,,,
166.226,,,
166.288,,,
166.267,,,
166.288,,,
166.37,,,
166.349,,,
166.37,,,
166.37,,,
166.37,,,
166.39,,,
166.39,,,
166.452,,,
166.431,,,
166.534,,,
166.534,,,
166.514,,,
166.534,,,
166.616,,,
166.637,,,
166.699,,,
166.699,,,
166.76,,,
166.76,,,
166.822,,,
166.884,,,
166.945,,,
166.822,,,
166.678,,,
166.596,,,
166.616,,,
166.658,,,
166.637,,,
166.74,,,
166.74,,,
166.74,,,
166.781,,,
166.781,,,
166.781,,,
166.822,,,
166.822,,,
166.822,,,
166.863,,,
166.884,,,
166.904,,,
166.966,,,
166.945,,,
166.966,,,
167.048,,,
167.028,,,
167.069,,,
167.172,,,
167.192,,,
167.233,,,
167.192,,,
167.356,,,
167.439,,,
167.439,,,
167.315,,,
167.172,,,
167.151,,,
167.172,,,
167.151,,,
167.274,,,
167.254,,,
167.254,,,
167.274,,,
167.3255,,,
167.377,,,
167.356,,,
167.418,,,
167.418,,,
167.418,,,
167.459,,,
167.48,,,
167.48,,,
167.521,,,
167.583,,,
167.644,,,
167.603,,,
167.644,,,
167.685,,,
167.747,,,
167.809,,,
167.891,,,
167.932,,,
167.973,,,
167.953,,,
168.076,,,
168.22,,,
168.261,,,
168.138,,,
168.076,,,
167.932,,,
168.014,,,
168.014,,,
168.097,,,
168.179,,,
168.179,,,
168.22,,,
168.323,,,
168.343,,,
168.384,,,
168.426,,,
168.467,,,
168.467,,,
168.487,,,
168.508,,,
168.549,,,
168.549,,,
168.59,,,
168.611,,,
168.652,,,
168.713,,,
168.713,,,
168.775,,,
168.775,,,
168.857,,,
168.94,,,
169.063,,,
169.083,,,
169.125,,,
169.125,,,
169.248,,,
169.453,,,
169.433,,,
169.289,,,
169.145,,,
169.104,,,
169.083,,,
169.186,,,
169.166,,,
169.145,,,
169.166,,,
169.268,,,
169.268,,,
169.31,,,
169.289,,,
169.33,,,
169.33,,,
169.289,,,
169.289,,,
169.289,,,
169.371,,,
169.351,,,
169.351,,,
169.433,,,
169.536,,,
169.556,,,
169.556,,,
169.577,,,
169.597,,,
169.618,,,
169.741,,,
169.762,,,
169.865,,,
169.885,,,
169.906,,,
169.968,,,
170.111,,,
170.173,,,
169.988,,,
169.865,,,
169.844,,,
169.803,,,
169.824,,,
169.865,,,
169.926,,,
169.947,,,
169.968,,,
170.029,,,
170.05,,,
170.111,,,
170.07,,,
170.111,,,
170.152,,,
170.194,,,
170.317,,,
170.296,,,
170.317,,,
170.358,,,
170.379,,,
170.461,,,
170.461,,,
170.482,,,
170.523,,,
170.605,,,
170.728,,,
170.79,,,
170.831,,,
170.81,,,
170.872,,,
170.996,,,
171.16,,,
171.098,,,
170.996,,,
170.79,,,
170.749,,,
170.81,,,
170.81,,,
170.852,,,
170.872,,,
170.913,,,
170.934,,,
170.975,,,
170.975,,,
170.996,,,
170.996,,,
170.975,,,
170.975,,,
170.934,,,
170.913,,,
170.872,,,
170.852,,,
170.81,,,
170.81,,,
170.749,,,
170.79,,,
170.996,,,
171.098,,,
171.16,,,
170.996,,,
170.872,,,
170.81,,,
170.831,,,
170.79,,,
170.728,,,
170.605,,,
170.523,,,
170.482,,,
170.461,,,
170.461,,,
170.379,,,
170.358,,,
170.317,,,
170.296,,,
170.317,,,
170.194,,,
170.152,,,
170.111,,,
170.07,,,
170.111,,,
170.05,,,
170.029,,,
169.968,,,
169.947,,,
169.926,,,
169.865,,,
169.824,,,
169.803,,,
169.844,,,
169.865,,,
169.988,,,
170.173,,,
170.111,,,
169.968,,,
169.906,,,
169.885,,,
169.865,,,
169.762,,,
169.741,,,
169.618,,,
169.597,,,
169.577,,,
169.556,,,
169.556,,,
169.536,,,
169.433,,,
169.351,,,
169.351,,,
169.371,,,
169.289,,,
169.289,,,
169.289,,,
169.33,,,
169.33,,,
169.289,,,
169.31,,,
169.268,,,
169.268,,,
169.166,,,
169.145,,,
169.166,,,
169.186,,,
169.083,,,
169.104,,,
169.145,,,
169.289,,,
169.433,,,
169.453,,,
169.248,,,
169.125,,,
169.125,,,
169.083,,,
169.063,,,
168.94,,,
168.857,,,
168.775,,,
168.775,,,
168.713,,,
168.713,,,
168.652,,,
168.611,,,
168.59,,,
168.549,,,
168.549,,,
168.508,,,
168.487,,,
168.467,,,
168.467,,,
168.426,,,
168.384,,,
168.343,,,
168.323,,,
168.22,,,
168.179,,,
168.179,,,
168.097,,,
168.014,,,
168.014,,,
167.932,,,
168.076,,,
168.138,,,
168.261,,,
168.22,,,
168.076,,,
167.953,,,
167.973,,,
167.932,,,
167.891,,,
167.809,,,
167.747,,,
167.685,,,
167.644,,,
167.603,,,
167.644,,,
167.583,,,
167.521,,,
167.48,,,
167.48,,,
167.459,,,
167.418,,,
167.418,,,
167.418,,,
167.356,,,
167.377,,,
167.3255,,,
167.274,,,
167.254,,,
167.254,,,
167.274,,,
167.151,,,
167.172,,,
167.151,,,
167.172,,,
167.315,,,
167.439,,,
167.439,,,
167.356,,,
167.192,,,
167.233,,,
167.192,,,
167.172,,,
167.069,,,
167.028,,,
167.048,,,
166.966,,,
166.945,,,
166.966,,,
166.904,,,
166.884,,,
166.863,,,
166.822,,,
166.822,,,
166.822,,,
166.781,,,
166.781,,,
166.781,,,
166.74,,,
166.74,,,
166.74,,,
166.637,,,
166.658,,,
166.616,,,
166.596,,,
166.678,,,
166.822,,,
166.945,,,
166.884,,,
166.822,,,
166.76,,,
166.76,,,
166.699,,,
166.699,,,
166.637,,,
166.616,,,
166.534,,,
166.514,,,
166.534,,,
166.534,,,
166.431,,,
166.452,,,
166.39,,,
166.39,,,
166.37,,,
166.37,,,
166.37,,,
166.349,,,
166.37,,,
166.288,,,
166.267,,,
166.288,,,
166.226,,,
166.205,,,
166.205,,,
166.349,,,
166.493,,,
166.616,,,
166.575,,,
