,,,
Fixed mmHg,Peeks,Peak cuff,Peak Ampl
58.013,,,
58.054,,,
58.054,,,
58.136,,,
58.116,,,
58.198,,,
58.239,,,
58.239,,,
58.239,,,
58.281,,,
58.281,,,
58.281,58.292,57.04318617,
58.342,,,
58.301,,,
58.322,,,
58.342,,,
58.322,,,
58.322,,,
58.342,,,
58.342,,,
58.342,,,
58.363,,,
58.363,,,
58.322,,,
58.363,,,
58.342,,,
58.322,,,
58.281,,,
58.239,,,
58.239,,,
58.239,,,
58.136,,,
58.075,,,
58.033,,,
57.91,,,
57.869,,,
57.765,,,
57.662,,,
57.662,,,
57.58,,,
57.58,,,
57.601,,,
57.58,,,
57.58,,,
57.58,,,
57.642,,,
57.662,,,
57.745,,,
57.765,,,
57.745,,,
57.786,,,
57.827,,,
57.869,,,
57.889,,,
57.972,,,
57.992,,,
57.992,,,
58.013,,,
58.054,,,
58.033,,,
58.178,,,
58.178,,,
58.198,,,
58.26,,,
58.239,,,
58.281,,,
58.322,,,
58.363,,,
58.322,,,
58.404,,,
58.466,,,
58.466,,,
58.507,,,
58.507,,,
58.528,,,
58.59,,,
58.61,,,
58.631,,,
58.672,,,
58.693,,,
58.693,,,
58.775,,,
58.816,,,
58.837,,,
58.878,,,
58.878,,,
58.919,,,
58.94,,,
58.981,,,
59.002,,,
59.043,,,
59.064,,,
59.126,,,
59.084,,,
59.105,,,
59.208,,,
59.187,,,
59.229,,,
59.229,,,
59.27,,,
59.311,,,
59.352,,,
59.414,,,
59.476,,,
59.497,,,
59.517,,,
59.538,,,
59.579,,,
59.62,,,
59.6,,,
59.682,,,
59.723,,,
59.744,,,
59.723,,,
59.764,,,
59.867,,,
59.888,,,
59.888,,,
59.888,,,
59.929,,,
59.97,,,
60.012,,,
60.032,,,
60.053,,,
60.135,,,
60.073,,,
60.115,,,
60.218,,,
60.218,,,
60.259,,,
60.3,,,
60.321,,,
60.362,,,
60.362,,,
60.341,,,
60.403,,,
60.465,,,
60.465,,,
60.506,,,
60.548,,,
60.589,,,
60.589,,,
60.63,,,
60.671,,,
60.692,,,
60.712,,,
60.754,,,
60.795,,,
60.815,,,
60.939,,,
60.918,,,
60.939,,,
61.001,,,
61.022,,,
61.145,,,
61.186,,,
61.166,,,
61.228,,,
61.331,,,
61.372,,,
61.351,,,
61.331,,,
61.372,,,
61.413,61.39266667,59.95587719,
61.393,,,
61.434,,,
61.434,,,
61.434,,,
61.413,,,
61.434,,,
61.413,,,
61.413,,,
61.413,,,
61.413,,,
61.454,,,
61.413,,,
61.496,,,
61.413,,,
61.413,,,
61.331,,,
61.331,,,
61.372,,,
61.331,,,
61.228,,,
61.207,,,
61.125,,,
61.022,,,
60.918,,,
60.795,,,
60.712,,,
60.63,,,
60.589,,,
60.589,,,
60.506,,,
60.548,,,
60.527,,,
60.548,,,
60.609,,,
60.63,,,
60.671,,,
60.671,,,
60.754,,,
60.754,,,
60.815,,,
60.836,,,
60.898,,,
60.918,,,
60.96,,,
61.001,,,
61.063,,,
61.063,,,
61.125,,,
61.166,,,
61.207,,,
61.248,,,
61.248,,,
61.269,,,
61.351,,,
61.372,,,
61.454,,,
61.434,,,
61.516,,,
61.516,,,
61.578,,,
61.578,,,
61.64,,,
61.702,,,
61.722,,,
61.743,,,
61.743,,,
