,,,
Fixed mmhg,Peaks,Peak cuff ,Peak Ampl
69.123,,,
69.205,,,
69.205,,,
69.246,,,
69.308,,,
69.308,,,
69.287,,,
69.329,,,
69.349,,,
69.391,,,
69.391,,,
69.411,,,
69.452,,,
69.432,,,
69.514,,,
69.535,,,
69.535,,,
69.576,,,
69.576,,,
69.597,,,
69.617,,,
69.638,,,
69.679,,,
69.679,,,
69.679,,,
69.7,,,
69.72,,,
69.762,,,
69.741,,,
69.782,,,
69.762,,,
69.865,,,
69.824,,,
69.865,,,
69.885,,,
69.927,,,
69.906,,,
69.968,,,
69.947,,,
70.03,,,
69.988,,,
69.988,,,
70.071,,,
70.03,,,
70.071,,,
70.153,,,
70.153,,,
70.153,,,
70.153,,,
70.174,,,
70.195,,,
70.236,,,
70.257,,,
70.236,,,
70.277,,,
70.236,,,
70.277,,,
70.318,,,
70.339,,,
70.38,,,
70.339,,,
70.38,,,
70.38,,,
70.442,,,
70.442,,,
70.504,,,
70.421,,,
70.504,,,
70.504,,,
70.545,,,
70.545,,,
70.525,,,
70.586,,,
70.607,,,
70.586,,,
70.607,,,
70.607,,,
70.69,,,
70.69,,,
70.648,,,
70.71,,,
70.669,,,
70.751,,,
70.751,,,
70.69,,,
70.772,,,
70.813,,,
70.793,70.79477778,70.77890762,
70.813,,,
70.854,,,
70.813,,,
70.854,,,
70.834,70.85888889,70.86203704,
70.916,,,
70.896,,,
70.896,,,
70.854,,,
70.937,,,
70.937,,,
70.958,,,
70.999,,,
71.019,,,
71.019,71.02177778,70.76911966,
71.061,,,
71.04,,,
71.102,,,
71.061,,,
71.061,,,
71.081,,,
71.102,,,
71.102,,,
71.081,,,
71.102,,,
71.102,,,
71.061,,,
71.061,,,
71.04,,,
71.019,,,
70.999,,,
71.019,,,
70.937,,,
70.958,,,
70.937,,,
70.937,,,
70.896,,,
70.875,,,
70.875,,,
70.854,,,
70.813,,,
70.813,,,
70.793,,,
70.772,,,
70.69,,,
70.648,,,
70.648,,,
70.566,,,
70.483,,,
70.36,,,
70.277,,,
70.195,,,
70.195,,,
70.112,,,
70.071,,,
70.112,,,
70.112,,,
70.112,,,
70.195,,,
70.112,,,
70.195,,,
70.236,,,
70.195,,,
70.277,,,
70.277,,,
70.277,,,
70.298,,,
70.36,,,
70.36,,,
70.38,,,
70.442,,,
70.421,,,
70.463,,,
70.483,,,
70.463,,,
70.504,,,
70.525,,,
70.566,,,
70.545,,,
70.607,,,
70.607,,,
70.607,,,
70.628,,,
70.648,,,
70.71,,,
70.69,,,
70.69,,,
70.751,,,
70.731,,,
70.793,,,
70.834,,,
70.793,,,
70.854,,,
70.854,,,
70.896,,,
70.875,,,
70.978,,,
70.896,,,
70.937,,,
70.937,,,
70.978,,,
70.999,,,
71.061,,,
71.04,,,
71.081,,,
71.081,,,
71.061,,,
71.102,,,
71.122,,,
71.122,,,
71.164,,,
71.184,,,
71.184,,,
71.226,,,
71.267,,,
71.226,,,
71.267,,,
71.287,,,
71.267,,,
71.287,,,
71.329,,,
71.329,,,
71.391,,,
71.391,,,
71.391,,,
71.391,,,
71.432,,,
71.432,,,
71.432,,,
71.452,,,
71.473,71.473,71.46614916,
71.514,,,
71.494,,,
71.514,,,
71.514,,,
71.535,,,
71.617,,,
71.535,,,
71.638,,,
71.555,,,
71.597,,,
71.638,,,
71.638,,,
71.679,,,
71.72,,,
71.7,,,
71.7,,,
71.762,,,
71.741,71.74344444,71.73467251,
71.762,,,
71.762,,,
71.741,,,
71.803,,,
71.824,,,
71.782,,,
71.865,,,
71.885,,,
71.865,,,
71.885,71.89222222,71.62555111,
71.885,,,
71.968,,,
71.968,,,
71.927,,,
71.968,,,
71.989,,,
71.968,,,
71.947,,,
71.927,,,
71.927,,,
71.927,,,
71.927,,,
71.885,,,
71.865,,,
71.906,,,
